Jogadores,Nacionalidade,Posição,Idade,Desarmes,Desarmes que Geram Posse,Desarmes no Terço Defensivo,Desarmes no Terço Central,Desarmes no Terço Ofensivo,Desarmes de Dribladores,Tentativas de Desarme de Drible,Desarmes Perdidos,Bloqueios,Chutes Bloqueados,Passes Bloqueados,Interceptação,Afastamentos,Erros que Geram Chute,Temporada
Nacho,Espanha,Defensor,32,33,27,22,9,2,16,41,25,16,10,6,45,53,0,2023
Ferland Mendy,França,Defensor,27,24,17,16,6,2,15,23,8,8,2,6,18,20,0,2023
Marco Asensio,Espanha,"Atacante, Meio Campista",26,17,10,8,7,2,9,21,12,12,3,9,11,7,0,2023
Dani Ceballos,Espanha,Meio Campista,25,47,33,13,19,15,26,65,39,29,2,27,32,6,1,2023
Lucas Vázquez,Espanha,Defensor,31,38,27,23,13,2,20,32,12,11,0,11,11,17,0,2023
Andriy Lunin,Ucrânia,Goleiro,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2023
Eden Hazard,Bélgica,"Atacante, Meio Campista",31,0,0,0,0,0,0,3,3,2,0,2,3,0,0,2023
Mariano,República Dominicana,Atacante,28,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2023
Álvaro Rodríguez,Uruguai,Atacante,18,2,2,1,0,1,1,1,0,0,0,0,0,1,0,2023
Casemiro,Brasil,Meio Campista,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023
Álvaro Odriozola,Espanha,Defensor,26,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2023
Jesús Vallejo,Espanha,Defensor,25,2,3,1,0,1,2,2,0,1,1,0,0,2,0,2023
Sergio Arribas,Espanha,Meio Campista,20,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2023
Mario Martín,Espanha,Meio Campista,18,,0,,,,,,,,,,1,,,2023
Thibaut Courtois,Bélgica,Goleiro,29,1,0,1,0,0,1,2,1,0,0,0,0,12,2,2022
Éder Militão,Brasil,Defensor,23,75,47,49,17,9,36,70,34,61,35,26,86,140,5,2022
Vinicius Júnior,Brasil,Atacante,21,67,40,30,26,11,21,67,46,35,0,35,10,7,0,2022
David Alaba,Áustria,Defensor,29,39,24,26,10,3,14,26,12,34,23,11,37,98,2,2022
Casemiro,Brasil,Meio Campista,29,109,76,61,42,6,41,97,56,82,24,58,65,85,3,2022
Karim Benzema,França,Atacante,33,14,13,5,5,4,2,16,14,21,0,21,5,24,0,2022
