Jogador,Nacionalidade,Posição,Idade,Cartões Amarelos,Cartões Vermelhos,2° Cartões Amarelos,Faltas Cometidas,Faltas Sofridas,Impedimentos,Cruzamentos,Interceptações,Desarmes Ganhos,Pênaltis Convertidos,Pênaltis Cometidos,Gols Contras,Bolas Perdidas Recuperadas,Duelos Aéreos Ganhos,Duelos Aéreos Perdidos,Temporada
Eden Hazard,Bélgica,"Atacante, Meio Campista",31,0,0,0,2,11,0,0,3,0,0,0,0,10,1,0,2023
Mariano,República Dominicana,Atacante,28,2,0,0,3,0,1,0,0,0,0,0,0,4,5,3,2023
Álvaro Rodríguez,Uruguai,Atacante,18,0,0,0,5,0,4,0,0,2,0,0,0,4,2,4,2023
Casemiro,Brasil,Meio Campista,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023
Álvaro Odriozola,Espanha,Defensor,26,0,0,0,1,4,0,3,1,2,0,0,0,1,0,1,2023
Jesús Vallejo,Espanha,Defensor,25,0,0,0,0,1,0,1,0,3,0,0,0,1,0,1,2023
Sergio Arribas,Espanha,Meio Campista,20,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2023
Mario Martín,Espanha,Meio Campista,18,0,0,0,0,0,0,0,1,0,,,0,,,,2023
Thibaut Courtois,Bélgica,Goleiro,29,1,0,0,1,3,0,0,0,0,0,1,0,56,10,2,2022
Éder Militão,Brasil,Defensor,23,9,1,0,60,58,1,13,86,47,1,0,0,262,114,45,2022
Vinicius Júnior,Brasil,Atacante,21,7,0,0,51,115,33,62,10,40,5,0,0,155,4,10,2022
David Alaba,Áustria,Defensor,29,4,0,0,26,9,3,58,37,24,0,0,0,180,21,32,2022
Casemiro,Brasil,Meio Campista,29,16,0,0,74,61,4,21,65,76,1,0,0,308,117,56,2022
Karim Benzema,França,Atacante,33,1,0,0,15,14,40,20,5,13,1,0,0,79,25,39,2022
Luka Modrić,Cróacia,Meio Campista,35,6,0,0,29,44,1,63,41,19,0,0,0,178,15,22,2022
Toni Kroos,Alemanha,Meio Campista,31,6,0,0,33,61,0,132,20,46,0,0,0,180,13,14,2022
Federico Valverde,Uruguai,"Meio Campista, Atacante",23,5,0,0,23,14,9,33,35,29,0,0,0,168,23,22,2022
Ferland Mendy,França,Defensor,26,7,0,0,22,32,3,41,25,24,1,1,0,148,16,19,2022
Dani Carvajal,Espanha,Defensor,29,4,0,0,35,17,1,61,33,41,0,2,0,156,23,19,2022
Nacho,Espanha,Defensor,31,9,0,0,23,25,0,17,49,23,0,0,0,120,30,23,2022
Lucas Vázquez,Espanha,"Defensor, Atacante",30,4,0,0,35,46,5,98,23,36,0,0,0,132,3,10,2022
Rodrygo,Brasil,"Atacante, Meio Campista",20,6,0,0,30,49,15,64,26,21,3,0,0,102,16,38,2022
Marco Asensio,Espanha,"Atacante, Meio Campista",25,2,0,0,12,22,3,81,15,10,0,0,0,94,1,10,2022
Eduardo Camavinga,França,Meio Campista,18,10,0,0,47,43,2,3,21,46,0,0,0,103,32,17,2022
Eden Hazard,Bélgica,Atacante,30,3,0,0,10,39,4,16,2,4,0,0,0,28,2,6,2022
Marcelo,Brasil,Defensor,33,0,1,0,7,11,0,36,5,9,0,0,0,39,4,7,2022
Luka Jović,Sérvia,Atacante,23,2,0,0,4,7,4,0,1,1,0,0,0,12,9,9,2022
Isco,Espanha,"Atacante, Meio Campista",29,1,0,0,7,9,1,10,2,6,0,0,0,19,4,1,2022
Mariano,República Dominicana,Atacante,27,2,0,0,3,0,6,1,1,0,0,0,0,4,10,4,2022
Andriy Lunin,Ucrânia,Goleiro,22,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2022
Jesús Vallejo,Espanha,Defensor,24,1,0,0,4,1,0,1,7,5,0,1,0,20,13,5,2022
Dani Ceballos,Espanha,"Meio Campista, Atacante",24,1,0,0,4,8,0,1,5,6,0,0,0,28,0,4,2022
Miguel Gutiérrez,Espanha,Defensor,20,1,0,0,3,8,0,13,2,5,0,0,0,17,3,4,2022
Gareth Bale,País de Gales,Atacante,32,2,0,0,3,0,1,3,2,1,0,0,0,4,8,5,2022
Antonio Blanco,Espanha,Meio Campista,21,0,0,0,1,1,0,0,1,0,0,0,0,5,0,1,2022
Peter González,República Dominicana,"Meio Campista, Defensor",19,0,0,0,0,2,0,1,1,0,0,0,0,3,0,1,2022
Mario Gila,Espanha,Defensor,20,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,2022
Sergio Santos,Espanha,Defensor,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022
Juanmi Latasa,Espanha,Atacante,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Thibaut Courtois,Bélgica,Goleiro,28,1,0,0,1,4,0,0,1,0,0,1,0,70,13,0,2021
Casemiro,Brasil,Meio Campista,28,15,1,1,71,77,5,34,91,65,0,0,0,313,121,85,2021
Karim Benzema,França,Atacante,32,2,0,0,22,30,32,22,10,8,0,0,0,87,33,58,2021
Luka Modrić,Cróacia,Meio Campista,34,4,0,0,35,44,1,96,66,30,0,0,0,263,23,29,2021
Raphaël Varane,França,Defensor,27,4,0,0,22,13,1,3,50,18,0,0,2,195,93,33,2021
Ferland Mendy,França,Defensor,25,5,0,0,30,58,6,49,40,23,0,0,0,175,14,20,2021
Toni Kroos,Alemanha,Meio Campista,30,10,0,0,41,40,2,185,36,30,0,0,0,195,20,13,2021
