Jogador,Nacionalidade,Posição,Idade,Passes c/ Bola Rolando,Passes c/ Bola Parada,Passes Em Faltas,Passes em Profundidade,Inversões de Jogo,Cruzamentos,Bolas de Lateral,Escanteios Cobrados,Passes Para Impedimentos,Passes Interceptados pelo Adversário,Temporada
James Rodríguez,Colômbia,Meio Campista,28,325,33,14,5,10,33,4,14,2,10,2020
Nacho,Espanha,Defensor,29,289,41,6,0,2,26,35,0,1,5,2020
Álvaro Odriozola,Espanha,Defensor,23,173,54,4,0,0,9,50,0,0,8,2020
Marco Asensio,Espanha,Atacante,23,168,4,2,0,4,12,1,1,1,2,2020
Brahim Díaz,Marrocos,Atacante,19,50,1,1,0,0,1,0,0,1,3,2020
Mariano,República Dominicana,"Atacante, Meio Campista",25,12,2,0,0,0,0,0,0,0,0,2020
Karim Benzema,França,Atacante,30,1378,90,5,7,19,29,4,2,7,39,2019
Raphaël Varane,França,Defensor,25,1878,77,70,1,29,3,7,0,4,12,2019
Sergio Ramos,Espanha,Defensor,32,2177,74,61,3,55,2,13,0,9,6,2019
Luka Modrić,Cróacia,Meio Campista,32,2228,109,61,9,50,88,12,36,11,37,2019
Toni Kroos,Alemanha,Meio Campista,28,2600,323,138,10,101,208,10,175,18,21,2019
Casemiro,Brasil,Meio Campista,26,1942,72,67,3,47,10,5,0,10,18,2019
Thibaut Courtois,Bélgica,Goleiro,26,714,303,75,0,3,0,0,0,4,1,2019
Dani Carvajal,Espanha,Defensor,26,1874,311,43,1,37,87,267,1,3,48,2019
Marcelo,Brasil,Defensor,30,1637,222,35,6,39,105,181,6,14,33,2019
Lucas Vázquez,Espanha,"Atacante, Defensor",27,1143,45,5,4,18,103,36,4,6,41,2019
Nacho,Espanha,Defensor,28,1236,83,43,0,9,17,40,0,4,11,2019
Gareth Bale,País de Gales,Atacante,29,971,32,2,3,27,92,27,0,10,35,2019
Marco Asensio,Espanha,"Atacante, Meio Campista",22,1148,67,8,9,12,109,26,31,9,35,2019
Keylor Navas,Costa Rica,Goleiro,31,272,96,20,0,1,0,0,0,0,0,2019
Dani Ceballos,Espanha,Meio Campista,21,1173,45,29,2,13,16,13,3,4,21,2019
Álvaro Odriozola,Espanha,Defensor,22,788,140,8,0,2,89,132,0,2,32,2019
Sergio Reguilón,Espanha,Defensor,21,913,120,13,0,11,56,106,1,3,24,2019
Vinicius Júnior,Brasil,Atacante,18,371,8,1,5,0,41,3,2,1,14,2019
Isco,Espanha,"Atacante, Meio Campista",26,1163,59,20,10,12,64,7,28,9,27,2019
Federico Valverde,Uruguai,Meio Campista,20,505,8,6,2,14,6,1,1,1,10,2019
Marcos Llorente,Espanha,Meio Campista,23,480,9,8,0,9,3,1,0,3,9,2019
Mariano,República Dominicana,Atacante,24,103,9,0,2,1,1,0,0,0,3,2019
Jesús Vallejo,Espanha,Defensor,21,202,6,5,0,3,0,1,0,0,1,2019
Brahim Díaz,Marrocos,Atacante,18,166,3,1,2,0,5,2,0,1,3,2019
Javi Sánchez,Espanha,Defensor,21,83,3,3,0,3,0,0,0,0,2,2019
Luca Zidane,França,Goleiro,20,27,13,2,0,0,0,0,0,0,0,2019
Cristo González,Espanha,Atacante,20,8,2,0,0,0,0,0,0,1,0,2019
Fran Garcia,Espanha,Defensor,18,,,,,,1,,,,,2019
Borja Mayoral,Espanha,Atacante,21,,,,,,0,,,,,2019
Álvaro Fidalgo,Espanha,Meio Campista,21,,,,,,0,,,,,2019
