Jogador,Nacionalidade,Posição,Idade,Ações Criadoras de Chute,Passes p/ Chute (Jogo Corrido),Passes p/ Chute (Bola Parada),Dribles Criadores de Chute,Chutes Criadores de Novo Chute,Faltas Sofridas p/ Chute,Recuperações para Chute,Ações Criadoras de Gol,Temporada
Nacho,Espanha,Defensor,31,26,25,0,0,1,0,0,2,2022
Lucas Vázquez,Espanha,"Defensor, Atacante",30,72,58,4,4,1,4,1,3,2022
Rodrygo,Brasil,"Atacante, Meio Campista",20,91,59,7,10,7,8,0,15,2022
Marco Asensio,Espanha,"Atacante, Meio Campista",25,75,45,13,5,10,2,0,8,2022
Eduardo Camavinga,França,Meio Campista,18,43,38,0,0,0,3,2,7,2022
Eden Hazard,Bélgica,Atacante,30,61,45,1,5,3,7,0,1,2022
Marcelo,Brasil,Defensor,33,18,17,0,0,0,0,1,3,2022
Luka Jović,Sérvia,Atacante,23,18,13,1,0,4,0,0,3,2022
Isco,Espanha,"Atacante, Meio Campista",29,22,17,1,2,1,1,0,2,2022
Mariano,República Dominicana,Atacante,27,8,7,0,1,0,0,0,1,2022
Andriy Lunin,Ucrânia,Goleiro,22,0,0,0,0,0,0,0,0,2022
Jesús Vallejo,Espanha,Defensor,24,1,1,0,0,0,0,0,0,2022
Dani Ceballos,Espanha,"Meio Campista, Atacante",24,13,10,0,0,3,0,0,1,2022
Miguel Gutiérrez,Espanha,Defensor,20,6,6,0,0,0,0,0,2,2022
Gareth Bale,País de Gales,Atacante,32,2,2,0,0,0,0,0,0,2022
Antonio Blanco,Espanha,Meio Campista,21,1,1,0,0,0,0,0,1,2022
Peter González,República Dominicana,"Meio Campista, Defensor",19,5,3,0,1,0,1,0,0,2022
Mario Gila,Espanha,Defensor,20,0,0,0,0,0,0,0,0,2022
Sergio Santos,Espanha,Defensor,20,2,2,0,0,0,0,0,0,2022
Juanmi Latasa,Espanha,Atacante,20,0,0,0,0,0,0,0,0,2022
Thibaut Courtois,Bélgica,Goleiro,28,4,4,0,0,0,0,0,0,2021
